createdAt,COUNT(aup.parameterId),parameterId,gpIntValue
2015-11-10,33,492,3.33333333
2015-11-10,33,493,3.06060606
2015-11-10,33,494,3.36363636
2015-11-10,34,495,2.64705882
2015-11-10,32,496,3.56250000
2015-11-10,33,497,3.21212121
2015-11-10,33,498,2.93939394
2015-11-11,5,492,2.60000000
2015-11-11,5,493,3.20000000
2015-11-11,6,494,2.16666667
2015-11-11,8,495,4.00000000
2015-11-11,5,496,2.80000000
2015-11-11,5,497,3.20000000
2015-11-11,5,498,2.60000000
2015-11-12,51,492,2.55882353
2015-11-12,51,493,2.44117647
2015-11-12,51,494,2.81372549
2015-11-12,51,495,2.72549020
2015-11-12,50,496,3.38000000
2015-11-12,51,497,3.03921569
2015-11-12,51,498,3.05882353
2015-11-13,28,492,3.42857143
2015-11-13,28,493,3.17857143
2015-11-13,28,494,3.17857143
2015-11-13,30,495,3.33333333
2015-11-13,28,496,3.39285714
2015-11-13,28,497,3.03571429
2015-11-13,28,498,2.92857143
2015-11-14,2,492,3.50000000
2015-11-14,2,493,3.00000000
2015-11-14,2,494,3.50000000
2015-11-14,2,495,2.50000000
2015-11-14,2,496,2.00000000
2015-11-14,2,497,2.50000000
2015-11-14,2,498,2.00000000
2015-11-15,1,492,3.00000000
2015-11-15,1,493,3.00000000
2015-11-15,1,494,4.00000000
2015-11-15,1,495,2.00000000
2015-11-15,1,496,3.00000000
2015-11-15,1,497,2.00000000
2015-11-15,1,498,3.00000000
2015-11-16,54,492,2.42592593
2015-11-16,54,493,2.16666667
2015-11-16,55,494,2.98181818
2015-11-16,55,495,2.92727273
2015-11-16,53,496,3.13207547
2015-11-16,54,497,3.09259259
2015-11-16,54,498,2.98148148
2015-11-17,23,492,2.91304348
2015-11-17,23,493,2.86956522
2015-11-17,23,494,4.04347826
2015-11-17,25,495,2.72000000
2015-11-17,23,496,3.26086957
2015-11-17,23,497,3.08695652
2015-11-17,23,498,2.86956522
2015-11-18,23,492,2.43478261
2015-11-18,23,493,2.21739130
2015-11-18,24,494,2.66666667
2015-11-18,25,495,3.24000000
2015-11-18,23,496,3.47826087
2015-11-18,23,497,3.26086957
2015-11-18,23,498,3.39130435
2015-11-19,54,492,3.01851852
2015-11-19,54,493,2.94444444
2015-11-19,53,494,2.84905660
2015-11-19,56,495,2.64285714
2015-11-19,54,496,3.31481481
2015-11-19,54,497,2.98148148
2015-11-19,54,498,2.88888889
2015-11-20,23,492,3.21739130
2015-11-20,23,493,2.91304348
2015-11-20,23,494,3.21739130
2015-11-20,26,495,2.92307692
2015-11-20,23,496,3.13043478
2015-11-20,23,497,3.04347826
2015-11-20,22,498,2.63636364
2015-11-21,3,492,2.33333333
2015-11-21,3,493,2.33333333
2015-11-21,3,494,2.33333333
2015-11-21,3,495,3.33333333
2015-11-21,3,496,4.00000000
2015-11-21,3,497,4.00000000
2015-11-21,3,498,4.33333333
2015-11-23,14,492,1.92857143
2015-11-23,14,493,1.92857143
2015-11-23,15,494,1.83333333
2015-11-23,15,495,3.63333333
2015-11-23,14,496,3.60714286
2015-11-23,14,497,3.28571429
2015-11-23,14,498,3.71428571
2015-11-24,10,492,1.85000000
2015-11-24,10,493,1.75000000
2015-11-24,11,494,1.54545455
2015-11-24,11,495,3.40909091
2015-11-24,10,496,3.35000000
2015-11-24,10,497,2.70000000
2015-11-24,10,498,3.55000000
2015-11-25,5,492,1.60000000
2015-11-25,5,493,1.60000000
2015-11-25,6,494,2.33333333
2015-11-25,7,495,3.28571429
2015-11-25,5,496,3.40000000
2015-11-25,5,497,3.00000000
2015-11-25,4,498,3.25000000
2015-11-26,2,492,1.50000000
2015-11-26,2,493,1.50000000
2015-11-26,2,494,1.50000000
2015-11-26,3,495,4.00000000
2015-11-26,2,496,4.00000000
2015-11-26,2,497,4.00000000
2015-11-26,2,498,3.50000000
2015-11-27,7,492,1.28571429
2015-11-27,7,493,1.57142857
2015-11-27,8,494,1.62500000
2015-11-27,7,495,4.28571429
2015-11-27,7,496,3.85714286
2015-11-27,7,497,3.85714286
2015-11-27,7,498,4.00000000
2015-11-28,1,492,4.00000000
2015-11-28,1,493,3.00000000
2015-11-28,1,494,2.00000000
2015-11-28,1,495,1.00000000
2015-11-28,1,496,3.00000000
2015-11-28,1,497,2.00000000
2015-11-28,1,498,2.00000000
2015-11-30,1,492,2.00000000
2015-11-30,1,493,2.00000000
2015-11-30,1,494,3.00000000
2015-11-30,4,495,3.75000000
2015-11-30,1,496,3.00000000
2015-11-30,1,497,2.00000000
2015-11-30,1,498,3.00000000
2015-12-01,2,492,3.00000000
2015-12-01,2,493,2.50000000
2015-12-01,3,494,2.66666667
2015-12-01,6,495,3.50000000
2015-12-01,2,496,4.00000000
2015-12-01,2,497,3.00000000
2015-12-02,3,492,2.66666667
2015-12-02,3,493,2.83333333
2015-12-02,3,494,1.83333333
2015-12-02,6,495,3.91666667
2015-12-02,3,496,3.00000000
2015-12-02,3,497,2.83333333
2015-12-02,3,498,3.50000000
2015-12-03,1,492,3.00000000
2015-12-03,1,493,2.00000000
2015-12-03,1,494,4.00000000
2015-12-03,5,495,3.80000000
2015-12-03,1,496,4.00000000
2015-12-03,1,497,4.00000000
2015-12-04,3,492,3.00000000
2015-12-04,3,493,2.66666667
2015-12-04,3,494,2.00000000
2015-12-04,3,495,4.00000000
2015-12-04,3,496,2.66666667
2015-12-04,3,497,4.00000000
2015-12-04,1,498,4.00000000
2015-12-05,1,494,1.00000000
2015-12-05,1,495,4.00000000
2015-12-06,1,492,1.00000000
2015-12-06,1,493,1.00000000
2015-12-06,1,494,2.00000000
2015-12-06,1,495,5.00000000
2015-12-06,1,496,3.00000000
2015-12-06,1,497,2.00000000
2015-12-06,1,498,4.00000000
2015-12-07,24,492,1.95833333
2015-12-07,23,493,1.78260870
2015-12-07,24,494,2.04166667
2015-12-07,26,495,3.50000000
2015-12-07,24,496,3.62500000
2015-12-07,21,497,3.28571429
2015-12-07,20,498,3.60000000
2015-12-08,11,492,2.45454545
2015-12-08,11,493,2.54545455
2015-12-08,11,494,2.27272727
2015-12-08,14,495,3.89285714
2015-12-08,11,496,3.45454545
2015-12-08,11,497,3.27272727
2015-12-08,7,498,3.85714286
2015-12-09,41,492,2.18292683
2015-12-09,41,493,2.30487805
2015-12-09,40,494,2.67500000
2015-12-09,42,495,3.38095238
2015-12-09,41,496,3.35365854
2015-12-09,34,497,3.41176471
2015-12-09,23,498,3.56521739
2015-12-10,47,492,2.44680851
2015-12-10,47,493,2.50000000
2015-12-10,47,494,3.70212766
2015-12-10,50,495,2.92000000
2015-12-10,47,496,3.32978723
2015-12-10,44,497,3.17045455
2015-12-10,27,498,3.25925926
2015-12-11,39,492,2.96153846
2015-12-11,39,493,2.78205128
2015-12-11,38,494,3.18421053
2015-12-11,41,495,3.19512195
2015-12-11,40,496,3.53750000
2015-12-11,30,497,3.11666667
2015-12-11,17,498,3.29411765
2015-12-11,2,614,6250.00000000
2015-12-12,9,492,2.22222222
2015-12-12,9,493,2.55555556
2015-12-12,9,494,3.00000000
2015-12-12,10,495,3.00000000
2015-12-12,6,496,3.00000000
2015-12-12,3,497,4.00000000
2015-12-12,7,498,3.42857143
2015-12-12,8,614,7500.00000000
2015-12-13,1,492,3.00000000
2015-12-13,1,493,3.00000000
2015-12-13,1,494,3.00000000
2015-12-13,1,495,5.00000000
2015-12-13,1,496,5.00000000
2015-12-13,1,614,9500.00000000
2015-12-14,38,492,1.92105263
2015-12-14,38,493,1.84210526
2015-12-14,38,494,2.60526316
2015-12-14,40,495,3.67500000
2015-12-14,23,496,3.63043478
2015-12-14,26,497,3.26923077
2015-12-14,25,498,3.52000000
2015-12-14,40,614,7712.50000000
2015-12-15,42,492,2.47619048
2015-12-15,42,493,2.54761905
2015-12-15,42,494,2.47619048
2015-12-15,46,495,3.25000000
2015-12-15,24,496,3.20833333
2015-12-15,20,497,3.40000000
2015-12-15,21,498,3.23809524
2015-12-15,46,614,7265.21739130
2015-12-16,16,492,2.43750000
2015-12-16,16,493,2.34375000
2015-12-16,15,494,2.40000000
2015-12-16,16,495,3.71875000
2015-12-16,8,496,3.37500000
2015-12-16,9,497,3.77777778
2015-12-16,10,498,3.40000000
2015-12-16,15,614,7366.66666667
2015-12-17,24,492,3.06250000
2015-12-17,24,493,3.06250000
2015-12-17,24,494,2.16666667
2015-12-17,27,495,3.37037037
2015-12-17,12,496,3.41666667
2015-12-17,7,497,3.42857143
2015-12-17,17,498,3.47058824
2015-12-17,25,614,7540.00000000
2015-12-18,34,492,3.08823529
2015-12-18,34,493,3.26470588
2015-12-18,33,494,2.09090909
2015-12-18,36,495,3.19444444
2015-12-18,17,496,3.58823529
2015-12-18,16,497,3.50000000
2015-12-18,22,498,3.36363636
2015-12-18,34,614,7323.52941176
2015-12-19,8,492,2.25000000
2015-12-19,8,493,2.00000000
2015-12-19,7,494,1.42857143
2015-12-19,8,495,3.75000000
2015-12-19,4,496,4.00000000
2015-12-19,5,497,4.00000000
2015-12-19,5,498,4.00000000
2015-12-19,8,614,7750.00000000
2015-12-20,2,492,2.00000000
2015-12-20,2,493,2.00000000
2015-12-20,2,494,1.50000000
2015-12-20,2,495,4.00000000
2015-12-20,2,496,3.50000000
2015-12-20,1,497,4.00000000
2015-12-20,1,498,5.00000000
2015-12-20,2,614,7500.00000000
2015-12-21,40,492,2.17500000
2015-12-21,40,493,2.00000000
2015-12-21,39,494,1.51282051
2015-12-21,42,495,3.73809524
2015-12-21,26,496,3.88461538
2015-12-21,23,497,3.52173913
2015-12-21,33,498,3.84848485
2015-12-21,43,614,8244.18604651
2015-12-22,17,492,2.58823529
2015-12-22,17,493,2.41176471
2015-12-22,17,494,2.11764706
2015-12-22,20,495,3.45000000
2015-12-22,8,496,3.12500000
2015-12-22,8,497,3.37500000
2015-12-22,12,498,3.25000000
2015-12-22,19,614,7736.84210526
2015-12-23,22,492,2.40909091
2015-12-23,22,493,2.77272727
2015-12-23,22,494,1.72727273
2015-12-23,23,495,3.73913043
2015-12-23,13,496,3.76923077
2015-12-23,12,497,3.08333333
2015-12-23,16,498,3.68750000
2015-12-23,23,614,8195.65217391
2015-12-24,17,492,2.41176471
2015-12-24,17,493,2.47058824
2015-12-24,17,494,1.76470588
2015-12-24,19,495,3.78947368
2015-12-24,8,496,3.37500000
2015-12-24,7,497,3.00000000
2015-12-24,12,498,3.83333333
2015-12-24,18,614,8000.00000000
2015-12-25,5,492,2.80000000
2015-12-25,5,493,2.80000000
2015-12-25,5,494,2.20000000
2015-12-25,5,495,3.00000000
2015-12-25,2,496,3.00000000
2015-12-25,1,497,1.00000000
